#,x_val,y_val,color
4B,4118,darkgray
4B,481,darkslategray
16B,1651,darkgray
16B,506,darkslategray
64B,598,darkgray
64B,636,darkslategray
256B,771,darkgray
256B,892,darkslategray
1KB,3034,darkgray
1KB,3262,darkslategray
